TEXTBODY,Category
"Delivery has failed to these recipients or groups: melissa.madrid@compass-usa.com The email address you entered couldn't be found. check the recipient's email address and try to resend the message. If the problem continues, contact your helpdesk. Diagnostic information for administrators: Generating server: CGUSCHP6024VM.NA.CompassGroup.Corp melissa.madrid@compass-usa.com Remote Server  returned '550 5.1.1 RESOLVER.ADR.RecipNotFound; not found' Original message headers: Received: from CGUSCHP6024VM.NA.CompassGroup.Corp (172.29.25.219) by CGUSCHP6024VM.NA.CompassGroup.Corp (172.29.25.219) with Microsoft SMTP Server (TLS) id 15.0.1367.3; Mon, 1 Apr 2019 07:58:25 -0400 Received: from NAM01-BY2-obe.outbound.protection.outlook.com (172.29.8.225) by CGUSCHP6024VM.NA.CompassGroup.Corp (172.29.25.219) with Microsoft SMTP Server (TLS) id 15.0.1367.3 via Frontend Transport; Mon, 1 Apr 2019 07:58:25 -0400 Received: from MWHPR0201CA0094.namprd02.prod.outlook.com (2603:10b6:301:75::35) by DM5PR02MB2730.namprd02.prod.outlook.com (2603:10b6:3:107::9) with Microsoft SMTP Server (version=TLS1_2, cipher=TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384) id 15.20.1750.17; Mon, 1 Apr 2019 11:57:23 +0000 Received: from BY2NAM03FT054.eop-NAM03.prod.protection.outlook.com (2a01:111:f400:7e4a::201) by MWHPR0201CA0094.outlook.office365.com (2603:10b6:301:75::35) with Microsoft SMTP Server (version=TLS1_2, cipher=TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384) id 15.20.1750.17 via Frontend Transport; Mon, 1 Apr 2019 11:57:22 +0000 Authentication-Results: spf=fail (sender IP is 67.219.250.2) smtp.mailfrom=sbs.ABC.com; compass-usa.com; dkim=none (message not signed) header.d=none;compass-usa.com; dmarc=fail action=none header.from=sbs.ABC.com;compauth=softpass reason=201 Received-SPF: Fail (protection.outlook.com: domain of sbs.ABC.com does not designate 67.219.250.2 as permitted sender) receiver=protection.outlook.com; client-ip=67.219.250.2; helo=mail1.bemta24.messagelabs.com; Received: from mail1.bemta24.messagelabs.com (67.219.250.2) by BY2NAM03FT054.mail.protection.outlook.com (10.152.85.30) with Microsoft SMTP Server (version=TLS1_2, cipher=TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384) id 15.20.1750.16 via Frontend Transport; Mon, 1 Apr 2019 11:57:22 +0000 Return-Path: ABC.customer.credit@sbs.ABC.com Received: from [67.219.251.58] (using TLSv1.2 with cipher DHE-RSA-AES256-GCM-SHA384 (256 bits)) by server-5.bemta.az-c.us-west-2.aws.symcld.net id D8/6D-04347-1ACF1AC5; Mon, 01 Apr 2019 11:57:21 +0000 Authentication-Results-Original: mx.messagelabs.com; dkim=none (message not signed); dmarc=none header.from=ABC.com X-Brightmail-Tracker: H4sIAAAAAAAAA+NgFlrCKsWRWlGSWpSXmKPExsVixfTmre6CPwt jDOZ1Glv0dB9msrg46TWjRevUSosFD84xO7B4rLuh7LF19xxWj03zOtgDmKNYM/OS8isSWDO2 b53DUtAfUnFg3iX2BsZ9bl2MXBxCAvMZJT4tX8bWxcgJ5GxjlFi/NwoisYFR4uLK/WwQzmFGi eMftrOAVLEIqEic+9/ECGKzCWhLvGg6wwzRrSuxavJuVhBbRMBdouPGXrCpzAJuEtc2/wayOT h4BfwkpnYrgoSFBZIlHq1/DTaSV0BQ4uTMJywQ5cESG1/+ZIEYaSDxY+t/sJESApISB1fcYJn AyD8LScssJC0QtoZE65y57BC2tsSyha+ZIWwXiY6zXcyY4o4Ss17fY1/AyL6K0SypKDM9oyQ3 MTNH19DAQNfQ0EjX0NhC11wvsUo3Wa+0WLc8tbhE10gvsbxYr7gyNzknRS8vtWQTIzBmUgq62 HcwLluRfohRkoNJSZT32aaFMUJ8SfkplRmJxRnxRaU5qcWHGGU4OJQkeMt+A+UEi1LTUyvSMn OA0QuTluDgURLhrQFJ8xYXJOYWZ6ZDpE4xunIsv/9sLjPHFjC5C0zuBpNXHwJJIZa8/LxUKXH eRSDNAiDNGaV5cKNhiecSo6yUMC8jAwODEE9BalFuZgmq/CtGcQ5GJWHeYpApPJl5JXAXvAI6 jgnoOIvS+SDHlSQipKQaGCV3Bdx/s5fp/2Odfyd3MNht3croONm5ve64ebnrtz3rfHljJ6yem Hna/vDS24IXZ2odFnCvuc+QlJy3d3uE6zJuoftnp8pUXF7gu07IoEOuilnxtKyiyVPTvT9UuG 1vGvu+//7mXLVcoWxf0Ev+bl62Vf2vBG7d176RW3F8b7PEpQP74w/Nv6/EUpyRaKjFXFScCAA pc9sCNwMAAA== X-Env-Sender: ABC.customer.credit@sbs.ABC.com X-Msg-Ref: server-27.tower-370.messagelabs.com!1554118635!2586601!116 X-Originating-IP: [58.2.236.237] X-SYMC-ESS-Client-Auth: outbound-route-from=fail X-StarScan-Received: X-StarScan-Version: 9.31.5; banners=-,-,- X-VirusChecked: Checked Received: (qmail 8087 invoked from network); 1 Apr 2019 11:57:20 -0000 Received: from unknown (HELO smtp.Genpact.com) (58.2.236.237) by server-27.tower-370.messagelabs.com with AES128-SHA encrypted SMTP; 1 Apr 2019 11:57:20 -0000 Received: from GCPWINGGN3EDG02.ind.corp.ad (58.2.40.137) by Genpact.com (58.2.40.237) with Microsoft SMTP Server id 8.3.485.1; Mon, 1 Apr 2019 17:15:13 +0530 Received: from GCPWINGGN3HUB01.IND.CORP.AD (119.43.8.212) by GCPWINGGN3EDG02.ind.corp.ad (58.2.40.204) with Microsoft SMTP Server (TLS) id 8.3.465.0; Mon, 1 Apr 2019 17:32:10 +0530 Received: from GCPLINGGN3RLY06.ind.corp.ad (58.2.36.239) by GCPWINGGN3HUB01.IND.CORP.AD (119.43.8.212) with Microsoft SMTP Server id 8.3.485.1; Mon, 1 Apr 2019 17:27:06 +0530 Received: from GCPWUSCIN1AKT03.USA.CORP.AD (gcpwuscin1akt03.usa.corp.ad [58.2.248.93])	by GCPLINGGN3RLY06.ind.corp.ad (Postfix) with ESMTP id C679F1056BEA;	Mon,  1 Apr 2019 17:24:44 +0530 (IST)",Contact Update
I paid it yesterday- stop harassing me ,Paid by Customer
I contacted you about setting up autopay by credit card. I set it up but I am still getting past due notices. Sharon Spikes,Other
"A check was mailed on Friday March 29thin amount of $4941.35, check number 794910.so you will write the $30.98 off or do we need to pay that yet?? Robin Mundorff Carroll County Government Accounts Payables Technician",Paid by Customer
Could you expand the statement so we can see what invoices are missing?you,Statement
" remove my email address from your system for Sebago Elementary School.... now known as Sebago School Department. They have not been part of MSAD 61 since June 2018. you,Becky Cross Ingersoll",Contact Update
see attached.,Paid by Customer
"Good Morning: Just scheduled payment for April 4th through my online banking.  Sorry for the oversight. You should receive it by this week. Linda McMillian, Presidentor HaroldMcMillian, Vice President McMillian's FIRST Steps Community Development Corporation (504) 822-1266 work (504) 650-4798 her cell (504) 650-2038 his cell On Monday, April 1, 2019, 12:52:35 AM CDT, ABCwrote: ABC Business Services24500 Hwy 290Cypress, TX 77429281-758-6000 Total Overdue Balance: USD 4,232.30 Total Balance: USD 4,232.30 3/31/2019",Promised
DSN Your message to tthorntzon@seniorlifestyle.com couldn't be delivered. tthorntzon wasn't found at seniorlifestyle.com. ABC.customer.credi. . . Office 365 tthorntzon Action Required Recipient Unknown To address How to Fix ItThe address may be misspelled or may not exist. Try one or more of the following:,Contact Update
For some reason we are not receiving your invoices. contact our office so we may correct the problem. you. Kathy,Statement
@font-face { font-family: Cambria Math; } @font-face { font-family: Calibri; } @font-face { font-family: Verdana; } @font-face { font-family: Tahoma; } @page WordSection1 {margin: 1.0in 1.0in 1.0in 1.0in; } P.MsoNormal { MARGIN: 0in 0in 0pt; FONT-FAMILY: ,Statement
"Delivery has failed to these recipients or groups: hwofford@fudgeryfudge.com The email address you entered couldn't be found. check the recipient's email address and try to resend the message. If the problem continues, contact your helpdesk. Diagnostic information for administrators: Generating server: Fudgery-Mail.fudge.intra hwofford@fudgeryfudge.com Remote Server  returned '550 5.1.1 RESOLVER.ADR.RecipNotFound; not found' Original message headers: Received: from barracuda.CCGIDIRECT.NET (67.108.162.254) by Fudgery-Mail.fudge.intra (10.130.10.17) with Microsoft SMTP Server id 15.0.1236.3; Mon, 1 Apr 2019 08:25:38 -0400 X-ASG-Debug-ID: 1554121539-04257e2bfc60e8a0001-LK7vaK Received: from mail1.bemta23.messagelabs.com (mail1.bemta23.messagelabs.com [67.219.246.212]) by barracuda.CCGIDIRECT.NET with ESMTP id 4Brivraw7b5uQWFb (version=TLSv1.2 cipher=ECDHE-RSA-AES256-GCM-SHA384 bits=256 verify=NO); Mon, 01 Apr 2019 08:25:39 -0400 (EDT) X-Barracuda-Envelope-From: ABC.customer.credit@sbs.ABC.com X-Barracuda-Effective-Source-IP: mail1.bemta23.messagelabs.com[67.219.246.212] X-Barracuda-Apparent-Source-IP: 67.219.246.212 Received: from [67.219.246.96] (using TLSv1.2 with cipher DHE-RSA-AES256-GCM-SHA384 (256 bits)) by server-2.bemta.az-b.us-east-1.aws.symcld.net id C6/D1-04824-24302AC5; Mon, 01 Apr 2019 12:25:38 +0000 X-Env-Sender: ABC.customer.credit@sbs.ABC.com X-Msg-Ref: server-19.tower-380.messagelabs.com!1554121277!7398846!14 X-Originating-IP: [58.2.236.238] X-SYMC-ESS-Client-Auth: outbound-route-from=fail X-StarScan-Received: X-StarScan-Version: 9.31.5; banners=-,-,- X-VirusChecked: Checked Received: (qmail 2439 invoked from network); 1 Apr 2019 12:25:38 -0000 Received: from unknown (HELO smtp.Genpact.com) (58.2.236.238) by server-19.tower-380.messagelabs.com with AES128-SHA encrypted SMTP; 1 Apr 2019 12:25:38 -0000 Received: from GCPWINGGN3EDG02.ind.corp.ad (58.2.40.228) by GCPWINGGN3EDG06.ind.corp.ad (58.2.40.238) with Microsoft SMTP Server id 8.3.465.0; Mon, 1 Apr 2019 18:23:39 +0530 Received: from GCPWINGGN3HUB01.IND.CORP.AD (119.43.8.212) by GCPWINGGN3EDG02.ind.corp.ad (58.2.40.204) with Microsoft SMTP Server (TLS) id 8.3.465.0; Mon, 1 Apr 2019 18:00:19 +0530 Received: from GCPLINGGN3RLY06.ind.corp.ad (58.2.36.239) by GCPWINGGN3HUB01.IND.CORP.AD (119.43.8.212) with Microsoft SMTP Server id 8.3.485.1; Mon, 1 Apr 2019 17:55:14 +0530 Received: from GCPWUSCIN1AKT03.USA.CORP.AD (gcpwuscin1akt03.usa.corp.ad [58.2.248.93])	by GCPLINGGN3RLY06.ind.corp.ad (Postfix) with ESMTP id E6EE51056BEA;	Mon,  1 Apr 2019 17:52:52 +0530 (IST)",Contact Update
"P { MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px } P { MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px } Good morning.We have received a credit application for Cedar Land & Sea Kitchen, and they provided ABC Pocomoke as a reference. If you could help with this, I would appreciate it. Cedar Land & Sea Kitchen 30234 Cedar Neck Road Ocean View, DE 19970 302-864-4388 Sold since: Pymtterms: High credit: Balance: Past due: Last payment: Last sale: Any NSF checks: If yes, how many? Prompt: Y or N Avgdays to pay: All information is considered confidential. you for your assistance. Have a nice day. Michelle LeBlanc Accounts Receivable Department Congressional Seafood Co.,NACMMember 1039 Phone: 410-799-1281 Toll Free: 1-800-991-8750 Fax: 301-596-3975",Other
see attached Credit Reference for Rams Head Shore House LLC. return tobhall@kirbyandholloway.comor Fax 302-398-4088 within 10 business days. you. Have a great day.,Paid by Customer
"you for contacting Jersey Mike's Subs of North Providence, RI, Warwick, RI and Raynham, MA. We will respond to your note as soon as possible. If your email was to request a donation, know that we have a passion for giving back to the community. It is part of our culture to support many worthwhile causes. Given the very large volume of donation requests that we receive, we ask that any organization seeking support follow our process and guidelines as outlined below: DONATION PROCESS & GUIDELINES All donation requests must be submitted in writing, preferably on the organizations letterhead, via email to Subs@JerseyMikesGroup.com. do not submit any requests via mail, fax or in person to managers or crew at the restaurant. If you have submitted a request and have a question about the status, inquire via email (not at the restaurant). We will make every attempt to review your donation request within two weeks. take our timeline into account when making your request. Our decision on whether or not we can donate and all associated logistics will be communicated via email. do not consider your donation confirmed until you have received written confirmation via email. The more complete the request, the easier it is for us to make a donation. Tracking down missing information requires additional time and resources for us. be sure to provide all of the following information: - Name of organization - Date(s) of event - Contact email (We will communicate about your request via email, not in person or over the phone.) - Mailing address - Specific donation requested (We provide support in the form of catering for events, items for raffles and silent auctions, etc. No cash donations.) - If applicable, total number of people attending the event and number of people you need to feed Food donations are to be picked up by the organization at the designated Jersey Mikes Subs location (no delivery). All other items will be mailed to the address provided. We are unable to participate in third-party discount cards, coupons, entertainment books, etc. Signs of a manageable size that promote your event or organization may be placed only on designated community bulletin boards within each location as available. We are unable to accommodate any free-standing displays. you for your consideration of Jersey Mikes Subs. Sincerely, Your Teams at Jersey Mikes Subs in North Providence, Warwick & Raynham",Other
DSN Your message to wild.john@den.ABC.com couldn't be delivered. wild.john wasn't found at den.ABC.com. ABC.customer.credi. . . Office 365 wild.john Action Required Recipient Unknown To address How to Fix ItThe address may be misspelled or may not exist. Try one or more of the following:,Contact Update
Antoinette Can you call me. Its urgent 3306214361. Thanks ,Other
"It was Check #6899 for Inv. 127308345 and 227178501. The total of the check was $1984.43. It was mailed to you on 3/25/19. You always receive the check for our other store and that is always cleared by our bank within a few days of it being sent. The checks for this store always seem to be held up somewhere at ABC and never seem to be cleared by our bank until the next week. The same bank sends both to the exact same address. I think someone it not matching it up to the account right away, and it is sitting around longer",Paid by Customer
Can you send me copies of the documents on the attached sheet. I don't have a password to the ABC site or I would print it out. Sorry.,Statement
 Patty are we cutting the most recent ABC today? We have to have information this morning by 11 or we will not get a delivery tomorrow. Much appreciated ,Other
" Invoice 297114847 was paid on 3/29 with check #2924220. Invoices 297121751, 297118206, 297118205, 297121752 are scheduled to be paid on 4/4/19. I have inquired for several weeks about the $39.18 that is on your statement as 197989488CT; this was a credit memo from November that was issued to us as Billing Misc Regular  we used the credit, but now you are taking the credit back why? Also, I see another credit on your statement for ($102.88) with the description of Billing Misc Regular  if I use this credit will you also take the credit back in a few months like you did the ($39.18)? respond to the highlighted comment so that I know how to proceed. you for your help,",Paid by Customer
remove the following email addresses from your list: finance@nstreetvillage.org,Contact Update
THE AMOUNT OF $906.69 WAS PAID ON 3/27/19-CK #136144.,Paid by Customer
"TJ, Will have check for $929.31 ready to pickup at restaurant tomorrow. Is this ok for an order today for delivery tomorrow? let me know. you Patrick Garnier La Baguette French Bistro ",Promised
 Both of these invoices are scheduled for payment on this weeks check run. You should receive the check by the end of the week.,Promised
"see email below and, The check we sent on the 20thhas not hit our ABC account yet. Can we check on that also",Paid by Customer
"Kathy, I am no longer the AP contact for this account. Jennifer Booth, (already copied) is your new contact. remove me from this email. Also, there is no reason to send these reminders at all. We always pay you every month.",Contact Update
"Sending this email to all Vendors to request a statement for the month of March 2019. If account #s are needed, reply and Ill send you our Account number You Enoch Toby NewIA/P Income Auditor Supervisor The Skirvin Hilton - Oklahoma City T:+1 405 702 8534IF:+1 405 702 8571 1 Park Avenue I Oklahoma City OK 73102IUnited States hilton.comIwww.skirvinhilton.com",Statement
This Was PAID on 3/30/19,Paid by Customer
"wrong account Respectfully, Anthony John Maquinalez | Franchise OwnerWHICH WICH SUPERIOR SANDWICHES 602 Mill Creek Drive| Salado, TX | 76571 C: 254.462.8312 | O: 512.868.8118 amaquinalez@whichwich.net | whichwich.com",Contact Update
" Attached is the spreadsheet containing the status of the open invoices for account #539247. Best regards,",Paid by Customer
Akarsh: The check that was mailed on Friday is check number 184402 in the amount of $1536.50. It was payment for the following invoices: 154897105 154897107 154897109 154897110 154897111 154897112 154897113 154925536 154925033 154925034 154925534 154925535 154925537 154938908 feel free to contact me with any questions you may have. Have a great day!,Paid by Customer
"This is part of the check issued Friday, 3/29. Check number 27130 for $1214.36 = Inv 225011585 $495.14 and Inv 225019673 $719.22",Paid by Customer
These invoices were paid last week on 3/27. You should have them today or tomorrow. Paid with check # 257438 for $909.56.,Paid by Customer
"I still don't know how we show an outstanding balance, when we pay weekly.explain what the balance is for. Jay Robinson & Belinda Carrasco432-634-2067 or 432-638-0889",Statement
#NAME?,Statement
"Can you help me with the 2 credits showing? Christy Forrest Accounts payable Specialist Tel:704-707-0332 Email:c.forrest@pregelamerica.com PreGel America 4450 Fortune Ave NW|Concord, NC 28027 Tel: 704 707 0300",Other
 email a copy of the following: 12015599S $44.62 12016213S $25.24 These documents are not available on your online statement. I have requested the $44.62 before and have not seen anything yet.,Statement
Already paid rep Friday ,Paid by Customer
"Invoices are schedule to pay this week. you,",Promised
"I have decided after many years with Amaranth Hospitality Group to move on to my next venture. If you need to reach me personally you may contact me at benpitt23@icloud.com To reach another manager at Butchertown Hall contact Ryan Jones. His email is Ryan@Butchertownhall.com -- Benjamin Pitt General Manager Butchertown Hall 1416 4th Ave North Nashville, TN 37208",Contact Update
A check has been placed in the mail. A scan of the check is included as an attachment.,Paid by Customer
 The email above was forwarded to me. I don't have access to this account on the ABC account center. Can this account be linked to the other Springfield account (810117)?,Other
Can we setup autopayment or can I give you a card?,Other
 Can I get a copy of all outstanding invoices?,Statement
"HelloCould you send me copies of all open invoices. I believe we are missing a few. Thanks -- Best, Angela GalofaroFinance/HR CoordinatorComplexions Day SpaAlbany 518-489-5231Saratoga 518-306-5502",Statement
"Khoa, Will you assist with removing Erica Ballad from receiving these reminder emails?",Contact Update
"Could you respond to my email so our account can get cleaned up? Respectfully,CHRISTINA TAMAYOROKA AKOR SF | OFFICE MANAGER | HUMAN RESOURCES | ACCOUNTING801 Montgomery St. | San Francisco, CA 94133 w:(415)362-8887c:(415)941-8680Ctamayo@rokaakor.com",Other
